codigo,codigo_ibge,municipio,regiao_imediata,regiao_intermediaria,mesorregiao,populacao,ano,leitos_existentes,leitos_sus,leitos_sus_10k_hab,tem_rede_hospitalar
351460,3514601,Dumont,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto,9764,2025,0,0,0.0,False
351470,3514700,Echaporã,Marília,Marília,Marília,6291,2025,0,0,0.0,False
351480,3514809,Eldorado,Registro,Sorocaba,Litoral Sul Paulista,13109,2025,0,0,0.0,False
351490,3514908,Elias Fausto,Campinas,Campinas,Campinas,18168,2025,6,6,3.3,True
351492,3514924,Elisiário,Catanduva,São José do Rio Preto,São José do Rio Preto,3190,2025,0,0,0.0,False
351495,3514957,Embaúba,Catanduva,São José do Rio Preto,São José do Rio Preto,2349,2025,0,0,0.0,False
351500,3515004,Embu das Artes,São Paulo,São Paulo,Metropolitana de São Paulo,259788,2025,99,89,3.43,True
351510,3515103,Embu-Guaçu,São Paulo,São Paulo,Metropolitana de São Paulo,68913,2025,17,17,2.47,True
351512,3515129,Emilianópolis,Presidente Prudente,Presidente Prudente,Presidente Prudente,3061,2025,0,0,0.0,False
351515,3515152,Engenheiro Coelho,Limeira,Campinas,Campinas,20261,2025,0,0,0.0,False
351518,3515186,Espírito Santo do Pinhal,São João da Boa Vista,Campinas,Campinas,40610,2025,674,298,73.38,True
351519,3515194,Espírito Santo do Turvo,Ourinhos,Marília,Assis,4214,2025,0,0,0.0,False
351520,3515202,Estrela d'Oeste,Fernandópolis,São José do Rio Preto,São José do Rio Preto,9696,2025,51,27,27.85,True
351530,3515301,Estrela do Norte,Presidente Prudente,Presidente Prudente,Presidente Prudente,2751,2025,0,0,0.0,False
351535,3515350,Euclides da Cunha Paulista,Presidente Prudente,Presidente Prudente,Presidente Prudente,7883,2025,0,0,0.0,False
351540,3515400,Fartura,Piraju,Marília,Assis,17029,2025,20,12,7.05,True
351550,3515509,Fernandópolis,Fernandópolis,São José do Rio Preto,São José do Rio Preto,73508,2025,135,84,11.43,True
351560,3515608,Fernando Prestes,Catanduva,São José do Rio Preto,Ribeirão Preto,6080,2025,0,0,0.0,False
351565,3515657,Fernão,Marília,Marília,Marília,1692,2025,0,0,0.0,False
351570,3515707,Ferraz de Vasconcelos,São Paulo,São Paulo,Metropolitana de São Paulo,186479,2025,178,178,9.55,True
351580,3515806,Flora Rica,Dracena,Presidente Prudente,Presidente Prudente,1483,2025,0,0,0.0,False
351590,3515905,Floreal,Votuporanga,São José do Rio Preto,São José do Rio Preto,2747,2025,0,0,0.0,False
351600,3516002,Flórida Paulista,Adamantina - Lucélia,Presidente Prudente,Presidente Prudente,13175,2025,47,30,22.77,True
351610,3516101,Florínea,Assis,Marília,Assis,4022,2025,0,0,0.0,False
351620,3516200,Franca,Franca,Ribeirão Preto,Ribeirão Preto,365494,2025,746,543,14.86,True
351630,3516309,Francisco Morato,São Paulo,São Paulo,Metropolitana de São Paulo,171476,2025,150,150,8.75,True
351640,3516408,Franco da Rocha,São Paulo,São Paulo,Metropolitana de São Paulo,150241,2025,455,384,25.56,True
351650,3516507,Gabriel Monteiro,Birigui - Penápolis,Araçatuba,Araçatuba,2813,2025,0,0,0.0,False
351660,3516606,Gália,Marília,Marília,Marília,6413,2025,45,27,42.1,True
351670,3516705,Garça,Marília,Marília,Marília,43081,2025,269,221,51.3,True
351680,3516804,Gastão Vidigal,Araçatuba,Araçatuba,São José do Rio Preto,3203,2025,0,0,0.0,False
351685,3516853,Gavião Peixoto,Araraquara,Araraquara,Araraquara,4806,2025,0,0,0.0,False
351690,3516903,General Salgado,Araçatuba,Araçatuba,São José do Rio Preto,10437,2025,28,19,18.2,True
351700,3517000,Getulina,Marília,Marília,Bauru,10337,2025,38,33,31.92,True
351710,3517109,Glicério,Birigui - Penápolis,Araçatuba,Araçatuba,4158,2025,0,0,0.0,False
351720,3517208,Guaiçara,Lins,Bauru,Bauru,11478,2025,0,0,0.0,False
351730,3517307,Guaimbê,Marília,Marília,Bauru,5609,2025,0,0,0.0,False
351740,3517406,Guaíra,Barretos,Ribeirão Preto,Ribeirão Preto,40489,2025,51,38,9.39,True
