posicao,codigo,municipio,indice_criticidade,ocupacao_estimada_pct,internacoes_mil_hab,leitos_sus_10k_hab,variacao_trimestral_pct,internacoes_12m,leitos_sus,populacao,perfil_dominante,alerta_capacidade
42,352480,Jales,71.8,74.6,173.95,20.57,-4.9,8711,103,50078,II. Neoplasias (tumores),Adequado
43,351060,Carapicuíba,71.2,80.0,42.8,5.1,28.3,17043,203,398236,"XV. Gravidez, parto e puerpério",Adequado
44,355220,Sorocaba,70.9,87.9,81.68,12.86,-1.0,62257,980,762172,IX. Doenças do aparelho circulatório,Atenção
45,353390,Olímpia,70.8,88.4,65.37,8.79,0.0,3718,50,56874,X. Doenças do aparelho respiratório,Atenção
46,350920,Cajamar,70.7,87.4,35.53,3.96,15.3,3495,39,98365,"XV. Gravidez, parto e puerpério",Atenção
47,353080,Mogi Mirim,70.4,90.2,54.95,11.38,10.4,5261,109,95742,XI. Doenças do aparelho digestivo,Atenção
48,350750,Botucatu,70.4,90.9,202.96,35.55,-2.8,30657,537,151053,IX. Doenças do aparelho circulatório,Atenção
49,352310,Itaquaquecetuba,69.9,93.5,39.53,6.97,1.8,15141,267,382983,"XV. Gravidez, parto e puerpério",Atenção
50,353260,Nhandeara,69.6,80.3,281.29,35.3,15.1,2789,35,9915,X. Doenças do aparelho respiratório,Adequado
51,350570,Barueri,69.6,70.3,123.14,18.25,10.3,41097,609,333737,XI. Doenças do aparelho digestivo,Adequado
52,351000,Cândido Mota,69.5,74.6,82.37,8.29,7.1,2484,25,30157,XI. Doenças do aparelho digestivo,Adequado
53,353140,Monte Aprazível,69.5,61.9,148.09,13.23,-8.3,3357,30,22668,X. Doenças do aparelho respiratório,Adequado
54,352440,Jacareí,69.3,82.1,60.43,8.13,8.3,15166,204,250952,II. Neoplasias (tumores),Adequado
55,354910,São João da Boa Vista,68.9,83.5,70.87,9.58,-1.0,6809,92,96080,"XV. Gravidez, parto e puerpério",Adequado
56,354390,Rio Claro,68.8,85.4,57.79,11.7,11.7,12155,246,210323,"XV. Gravidez, parto e puerpério",Atenção
57,355410,Taubaté,68.5,76.8,76.36,11.38,11.6,24617,367,322397,"XV. Gravidez, parto e puerpério",Adequado
58,353870,Piracicaba,68.2,75.7,82.42,9.55,2.3,36333,421,440835,XI. Doenças do aparelho digestivo,Adequado
59,352900,Marília,68.1,80.1,126.15,24.3,-2.5,31202,601,247348,IX. Doenças do aparelho circulatório,Adequado
60,355670,Vinhedo,68.1,80.7,70.69,7.97,-3.4,5591,63,79089,XI. Doenças do aparelho digestivo,Adequado
61,353730,Penápolis,68.0,82.4,95.12,19.08,3.6,6033,121,63426,"XV. Gravidez, parto e puerpério",Adequado
62,355240,Sumaré,67.6,88.7,43.98,6.25,-4.9,12804,182,291116,"XV. Gravidez, parto e puerpério",Atenção
63,351840,Guaratinguetá,67.2,68.5,82.93,16.98,119.8,10111,207,121916,XI. Doenças do aparelho digestivo,Adequado
64,354100,Praia Grande,66.9,80.1,30.34,5.92,20.8,11180,218,368539,"XV. Gravidez, parto e puerpério",Adequado
65,354780,Santo André,66.5,83.3,55.85,8.78,-1.5,43679,687,782048,XIX. Lesões e envenenamentos por causas externas,Adequado
66,354640,Santa Cruz do Rio Pardo,66.4,77.7,86.83,11.52,-8.6,4147,55,47759,"XV. Gravidez, parto e puerpério",Adequado
67,354160,Promissão,65.9,63.4,117.7,17.79,10.9,4234,64,35973,XI. Doenças do aparelho digestivo,Adequado
68,353060,Mogi das Cruzes,65.9,82.3,76.8,13.12,-7.6,36119,617,470302,XIX. Lesões e envenenamentos por causas externas,Adequado
69,351740,Guaíra,65.5,73.2,84.2,9.39,-7.4,3409,38,40489,I. Doenças infecciosas e parasitárias,Adequado
70,353070,Mogi Guaçu,65.4,82.9,60.96,9.67,-7.6,9773,155,160318,"XV. Gravidez, parto e puerpério",Adequado
71,354760,Santa Rosa de Viterbo,65.2,66.3,46.98,8.01,34.0,1114,19,23710,X. Doenças do aparelho respiratório,Adequado
72,354680,Santa Isabel,65.0,87.1,37.65,6.58,-7.3,2059,36,54691,"XV. Gravidez, parto e puerpério",Atenção
73,352570,José Bonifácio,65.0,70.1,65.04,11.32,19.2,2471,43,37992,X. Doenças do aparelho respiratório,Adequado
