codigo,codigo_ibge,municipio,regiao_imediata,regiao_intermediaria,mesorregiao,populacao,ano,leitos_existentes,leitos_sus,leitos_sus_10k_hab,tem_rede_hospitalar,internacoes_12m,valor_total_12m,media_permanencia,internacoes_ult_trim,internacoes_prim_trim,variacao_trimestral_pct,perfil_dominante,internacoes_mil_hab,giro_leito_ano,ocupacao_estimada_pct,custo_medio_internacao,perfil_permanencia,alerta_capacidade
352270,3522703,Itápolis,Araraquara,Araraquara,Araraquara,40445,2025,69,43,10.63,True,3691,4180604.83,3.31,1161.0,878.0,32.2,X. Doenças do aparelho respiratório,91.26,85.8,77.8,1132.65,Agudos,Adequado
352280,3522802,Itaporanga,Itapeva,Sorocaba,Itapetininga,14245,2025,38,32,22.46,True,1091,449843.86,2.18,261.0,294.0,-11.2,X. Doenças do aparelho respiratório,76.59,34.1,20.4,412.32,Agudos,Adequado
352290,3522901,Itapuí,Jaú,Bauru,Bauru,14035,2025,35,35,24.94,True,12,4064.97,4.8,0.0,12.0,-100.0,IX. Doenças do aparelho circulatório,0.86,0.3,0.5,338.75,Agudos,Adequado
352300,3523008,Itapura,Andradina,Araçatuba,Araçatuba,4002,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
352310,3523107,Itaquaquecetuba,São Paulo,São Paulo,Metropolitana de São Paulo,382983,2025,267,267,6.97,True,15141,17757521.77,6.02,3877.0,3808.0,1.8,"XV. Gravidez, parto e puerpério",39.53,56.7,93.5,1172.81,Agudos,Atenção
352320,3523206,Itararé,Itapeva,Sorocaba,Itapetininga,45213,2025,78,51,11.28,True,4170,2940444.15,2.02,1006.0,1025.0,-1.9,XIX. Lesões e envenenamentos por causas externas,92.23,81.8,45.3,705.14,Agudos,Adequado
352330,3523305,Itariri,Santos,São Paulo,Litoral Sul Paulista,15916,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
352340,3523404,Itatiba,Jundiaí,Campinas,Macro Metropolitana Paulista,127112,2025,156,96,7.55,True,7037,10215477.78,3.33,1583.0,1723.0,-8.1,XIV. Doenças do aparelho geniturinário,55.36,73.3,66.9,1451.68,Agudos,Adequado
352350,3523503,Itatinga,Botucatu,Bauru,Bauru,19462,2025,14,7,3.6,True,302,121179.72,4.34,78.0,90.0,-13.3,X. Doenças do aparelho respiratório,15.52,43.1,51.3,401.26,Agudos,Adequado
352360,3523602,Itirapina,São Carlos,Araraquara,Piracicaba,16454,2025,10,10,6.08,True,123,59042.04,4.59,48.0,31.0,54.8,X. Doenças do aparelho respiratório,7.48,12.3,15.5,480.02,Agudos,Adequado
