codigo,municipio,leitos_existentes,leitos_sus
353690,PEDRANOPOLIS,0,0
353700,PEDREGULHO,64,55
353710,PEDREIRA,28,28
353715,PEDRINHAS PAULISTA,0,0
353720,PEDRO DE TOLEDO,3,3
353730,PENAPOLIS,157,121
353740,PEREIRA BARRETO,52,48
353750,PEREIRAS,0,0
353760,PERUIBE,75,72
353770,PIACATU,0,0
353780,PIEDADE,80,60
353790,PILAR DO SUL,35,27
353800,PINDAMONHANGABA,398,127
353810,PINDORAMA,0,0
353820,PINHALZINHO,0,0
353830,PIQUEROBI,0,0
353850,PIQUETE,0,0
353860,PIRACAIA,64,28
353870,PIRACICABA,803,421
353880,PIRAJU,68,49
353890,PIRAJUI,285,83
353900,PIRANGI,47,22
353910,PIRAPORA DO BOM JESUS,0,0
353920,PIRAPOZINHO,0,0
353930,PIRASSUNUNGA,130,68
353940,PIRATININGA,25,21
353950,PITANGUEIRAS,53,30
353960,PLANALTO,0,0
353970,PLATINA,0,0
353980,POA,0,0
353990,POLONI,0,0
354000,POMPEIA,21,16
354010,PONGAI,0,0
354020,PONTAL,45,29
354025,PONTALINDA,0,0
354030,PONTES GESTAL,0,0
354040,POPULINA,18,6
354050,PORANGABA,0,0
354060,PORTO FELIZ,82,71
354070,PORTO FERREIRA,55,33
354075,POTIM,0,0
354080,POTIRENDABA,32,21
354085,PRACINHA,0,0
354090,PRADOPOLIS,0,0
354100,PRAIA GRANDE,380,218
354105,PRATANIA,0,0
354110,PRESIDENTE ALVES,0,0
354120,PRESIDENTE BERNARDES,35,28
354130,PRESIDENTE EPITACIO,78,68
354140,PRESIDENTE PRUDENTE,1164,752
354150,PRESIDENTE VENCESLAU,102,62
354160,PROMISSAO,64,64
354165,QUADRA,0,0
354170,QUATA,0,0
354180,QUEIROZ,0,0
354190,QUELUZ,19,19
354200,QUINTANA,0,0
354210,RAFARD,0,0
354220,RANCHARIA,103,71
354230,REDENCAO DA SERRA,0,0
354240,REGENTE FEIJO,43,34
354250,REGINOPOLIS,0,0
354260,REGISTRO,229,194
354270,RESTINGA,0,0
354280,RIBEIRA,0,0
354290,RIBEIRAO BONITO,21,17
354300,RIBEIRAO BRANCO,16,16
354310,RIBEIRAO CORRENTE,0,0
354320,RIBEIRAO DO SUL,0,0
354323,RIBEIRAO DOS INDIOS,0,0
