codigo,codigo_ibge,municipio,populacao,ano
351050,3510500,Caraguatatuba - SP,142248,2025
351060,3510609,Carapicuíba - SP,398236,2025
351070,3510708,Cardoso - SP,11476,2025
351080,3510807,Casa Branca - SP,28779,2025
351090,3510906,Cássia dos Coqueiros - SP,2861,2025
351100,3511003,Castilho - SP,20485,2025
351110,3511102,Catanduva - SP,119275,2025
351120,3511201,Catiguá - SP,7101,2025
351130,3511300,Cedral - SP,13314,2025
351140,3511409,Cerqueira César - SP,22210,2025
351150,3511508,Cerquilho - SP,46391,2025
351160,3511607,Cesário Lange - SP,19707,2025
351170,3511706,Charqueada - SP,15814,2025
351190,3511904,Clementina - SP,7084,2025
351200,3512001,Colina - SP,18880,2025
351210,3512100,Colômbia - SP,6802,2025
351220,3512209,Conchal - SP,29132,2025
351230,3512308,Conchas - SP,15345,2025
351240,3512407,Cordeirópolis - SP,25286,2025
351250,3512506,Coroados - SP,5504,2025
351260,3512605,Coronel Macedo - SP,4271,2025
351270,3512704,Corumbataí - SP,4296,2025
351280,3512803,Cosmópolis - SP,61167,2025
351290,3512902,Cosmorama - SP,9019,2025
351300,3513009,Cotia - SP,289493,2025
351310,3513108,Cravinhos - SP,34307,2025
351320,3513207,Cristais Paulista - SP,9600,2025
351330,3513306,Cruzália - SP,2123,2025
351340,3513405,Cruzeiro - SP,76444,2025
351350,3513504,Cubatão - SP,114870,2025
351360,3513603,Cunha - SP,22460,2025
351370,3513702,Descalvado - SP,32663,2025
351380,3513801,Diadema - SP,403579,2025
351385,3513850,Dirce Reis - SP,1639,2025
351390,3513900,Divinolândia - SP,11305,2025
351400,3514007,Dobrada - SP,8986,2025
351410,3514106,Dois Córregos - SP,24847,2025
351420,3514205,Dolcinópolis - SP,2254,2025
351430,3514304,Dourado - SP,8169,2025
351440,3514403,Dracena - SP,46735,2025
351450,3514502,Duartina - SP,12532,2025
351460,3514601,Dumont - SP,9764,2025
351470,3514700,Echaporã - SP,6291,2025
351480,3514809,Eldorado - SP,13109,2025
351490,3514908,Elias Fausto - SP,18168,2025
351492,3514924,Elisiário - SP,3190,2025
351495,3514957,Embaúba - SP,2349,2025
351500,3515004,Embu das Artes - SP,259788,2025
351510,3515103,Embu-Guaçu - SP,68913,2025
351512,3515129,Emilianópolis - SP,3061,2025
351515,3515152,Engenheiro Coelho - SP,20261,2025
351518,3515186,Espírito Santo do Pinhal - SP,40610,2025
351519,3515194,Espírito Santo do Turvo - SP,4214,2025
351520,3515202,Estrela d'Oeste - SP,9696,2025
351530,3515301,Estrela do Norte - SP,2751,2025
351535,3515350,Euclides da Cunha Paulista - SP,7883,2025
351540,3515400,Fartura - SP,17029,2025
351550,3515509,Fernandópolis - SP,73508,2025
351560,3515608,Fernando Prestes - SP,6080,2025
351565,3515657,Fernão - SP,1692,2025
351570,3515707,Ferraz de Vasconcelos - SP,186479,2025
351580,3515806,Flora Rica - SP,1483,2025
351590,3515905,Floreal - SP,2747,2025
351600,3516002,Flórida Paulista - SP,13175,2025
351610,3516101,Florínea - SP,4022,2025
351620,3516200,Franca - SP,365494,2025
351630,3516309,Francisco Morato - SP,171476,2025
351640,3516408,Franco da Rocha - SP,150241,2025
351650,3516507,Gabriel Monteiro - SP,2813,2025
351660,3516606,Gália - SP,6413,2025
351670,3516705,Garça - SP,43081,2025
351680,3516804,Gastão Vidigal - SP,3203,2025
351685,3516853,Gavião Peixoto - SP,4806,2025
351690,3516903,General Salgado - SP,10437,2025
351700,3517000,Getulina - SP,10337,2025
351710,3517109,Glicério - SP,4158,2025
351720,3517208,Guaiçara - SP,11478,2025
351730,3517307,Guaimbê - SP,5609,2025
351740,3517406,Guaíra - SP,40489,2025
351750,3517505,Guapiaçu - SP,22445,2025
351760,3517604,Guapiara - SP,17225,2025
351770,3517703,Guará - SP,18748,2025
351780,3517802,Guaraçaí - SP,7453,2025
351790,3517901,Guaraci - SP,10554,2025
351800,3518008,Guarani d'Oeste - SP,1999,2025
351810,3518107,Guarantã - SP,6532,2025
351820,3518206,Guararapes - SP,31888,2025
351830,3518305,Guararema - SP,32620,2025
351840,3518404,Guaratinguetá - SP,121916,2025
351850,3518503,Guareí - SP,15285,2025
351860,3518602,Guariba - SP,38678,2025
351870,3518701,Guarujá - SP,294871,2025
351880,3518800,Guarulhos - SP,1349100,2025
351885,3518859,Guatapará - SP,7474,2025
351890,3518909,Guzolândia - SP,4259,2025
351900,3519006,Herculândia - SP,9316,2025
351905,3519055,Holambra - SP,15718,2025
351907,3519071,Hortolândia - SP,248842,2025
351910,3519105,Iacanga - SP,10648,2025
351920,3519204,Iacri - SP,6197,2025
351925,3519253,Iaras - SP,8313,2025
351930,3519303,Ibaté - SP,33160,2025
351940,3519402,Ibirá - SP,11952,2025
351950,3519501,Ibirarema - SP,6450,2025
351960,3519600,Ibitinga - SP,62143,2025
351970,3519709,Ibiúna - SP,77801,2025
351980,3519808,Icém - SP,7982,2025
351990,3519907,Iepê - SP,7739,2025
352000,3520004,Igaraçu do Tietê - SP,23421,2025
352010,3520103,Igarapava - SP,26696,2025
