codigo,codigo_ibge,municipio,regiao_imediata,regiao_intermediaria,mesorregiao
352150,3521507,Irapuã,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
352160,3521606,Irapuru,Dracena,Presidente Prudente,Presidente Prudente
352170,3521705,Itaberá,Itapeva,Sorocaba,Itapetininga
352180,3521804,Itaí,Avaré,Sorocaba,Bauru
352190,3521903,Itajobi,Catanduva,São José do Rio Preto,São José do Rio Preto
352200,3522000,Itaju,Jaú,Bauru,Bauru
352210,3522109,Itanhaém,Santos,São Paulo,Litoral Sul Paulista
352215,3522158,Itaoca,Itapeva,Sorocaba,Itapetininga
352220,3522208,Itapecerica da Serra,São Paulo,São Paulo,Metropolitana de São Paulo
352230,3522307,Itapetininga,Itapetininga,Sorocaba,Itapetininga
352240,3522406,Itapeva,Itapeva,Sorocaba,Itapetininga
352250,3522505,Itapevi,São Paulo,São Paulo,Metropolitana de São Paulo
352260,3522604,Itapira,Mogi Guaçu,Campinas,Campinas
352265,3522653,Itapirapuã Paulista,Itapeva,Sorocaba,Itapetininga
352270,3522703,Itápolis,Araraquara,Araraquara,Araraquara
352280,3522802,Itaporanga,Itapeva,Sorocaba,Itapetininga
352290,3522901,Itapuí,Jaú,Bauru,Bauru
352300,3523008,Itapura,Andradina,Araçatuba,Araçatuba
352310,3523107,Itaquaquecetuba,São Paulo,São Paulo,Metropolitana de São Paulo
352320,3523206,Itararé,Itapeva,Sorocaba,Itapetininga
352330,3523305,Itariri,Santos,São Paulo,Litoral Sul Paulista
352340,3523404,Itatiba,Jundiaí,Campinas,Macro Metropolitana Paulista
352350,3523503,Itatinga,Botucatu,Bauru,Bauru
352360,3523602,Itirapina,São Carlos,Araraquara,Piracicaba
352370,3523701,Itirapuã,Franca,Ribeirão Preto,Ribeirão Preto
352380,3523800,Itobi,São José do Rio Pardo - Mococa,Campinas,Campinas
352390,3523909,Itu,Sorocaba,Sorocaba,Macro Metropolitana Paulista
352400,3524006,Itupeva,Jundiaí,Campinas,Macro Metropolitana Paulista
352410,3524105,Ituverava,Ituverava,Ribeirão Preto,Ribeirão Preto
352420,3524204,Jaborandi,Barretos,Ribeirão Preto,Ribeirão Preto
352430,3524303,Jaboticabal,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
352440,3524402,Jacareí,São José dos Campos,São José dos Campos,Vale do Paraíba Paulista
352450,3524501,Jaci,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
352460,3524600,Jacupiranga,Registro,Sorocaba,Litoral Sul Paulista
352470,3524709,Jaguariúna,Campinas,Campinas,Campinas
352480,3524808,Jales,Jales,São José do Rio Preto,São José do Rio Preto
352490,3524907,Jambeiro,São José dos Campos,São José dos Campos,Vale do Paraíba Paulista
352500,3525003,Jandira,São Paulo,São Paulo,Metropolitana de São Paulo
352510,3525102,Jardinópolis,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
