codigo,municipio,capitulo_cid10,internacoes
350410,ATIBAIA,Cap 06,24.0
350410,ATIBAIA,Cap 07,1.0
350410,ATIBAIA,Cap 08,9.0
350410,ATIBAIA,Cap 09,310.0
350410,ATIBAIA,Cap 10,592.0
350410,ATIBAIA,Cap 11,318.0
350410,ATIBAIA,Cap 12,106.0
350410,ATIBAIA,Cap 13,38.0
350410,ATIBAIA,Cap 14,538.0
350410,ATIBAIA,Cap 15,812.0
350410,ATIBAIA,Cap 16,42.0
350410,ATIBAIA,Cap 17,8.0
350410,ATIBAIA,Cap 18,107.0
350410,ATIBAIA,Cap 19,762.0
350410,ATIBAIA,Cap 21,303.0
350420,AURIFLAMA,Cap 01,32.0
350420,AURIFLAMA,Cap 02,262.0
350420,AURIFLAMA,Cap 03,37.0
350420,AURIFLAMA,Cap 04,135.0
350420,AURIFLAMA,Cap 09,52.0
350420,AURIFLAMA,Cap 10,234.0
350420,AURIFLAMA,Cap 11,631.0
350420,AURIFLAMA,Cap 12,54.0
350420,AURIFLAMA,Cap 13,1.0
350420,AURIFLAMA,Cap 14,254.0
350420,AURIFLAMA,Cap 15,94.0
350420,AURIFLAMA,Cap 16,2.0
350420,AURIFLAMA,Cap 18,450.0
350420,AURIFLAMA,Cap 19,12.0
350420,AURIFLAMA,Cap 21,442.0
350450,AVARE,Cap 01,298.0
350450,AVARE,Cap 02,201.0
350450,AVARE,Cap 03,6.0
350450,AVARE,Cap 04,84.0
350450,AVARE,Cap 05,6.0
350450,AVARE,Cap 06,186.0
350450,AVARE,Cap 09,883.0
350450,AVARE,Cap 10,366.0
350450,AVARE,Cap 11,1044.0
350450,AVARE,Cap 12,85.0
350450,AVARE,Cap 13,179.0
350450,AVARE,Cap 14,560.0
350450,AVARE,Cap 15,1286.0
350450,AVARE,Cap 16,106.0
350450,AVARE,Cap 17,11.0
350450,AVARE,Cap 18,195.0
350450,AVARE,Cap 19,1869.0
350450,AVARE,Cap 21,398.0
350520,BARIRI,Cap 01,180.0
350520,BARIRI,Cap 02,46.0
350520,BARIRI,Cap 03,32.0
350520,BARIRI,Cap 04,37.0
350520,BARIRI,Cap 05,96.0
350520,BARIRI,Cap 06,59.0
350520,BARIRI,Cap 08,2.0
350520,BARIRI,Cap 09,199.0
350520,BARIRI,Cap 10,309.0
350520,BARIRI,Cap 11,307.0
350520,BARIRI,Cap 12,23.0
350520,BARIRI,Cap 13,61.0
350520,BARIRI,Cap 14,144.0
350520,BARIRI,Cap 15,349.0
350520,BARIRI,Cap 16,1.0
350520,BARIRI,Cap 17,3.0
350520,BARIRI,Cap 18,36.0
350520,BARIRI,Cap 19,186.0
